Feature,Importance
violent_events_count_roll_mean12,0.39396387
distinct_actors_count_roll_mean12,0.08443317
distinct_actor_types_count_roll_mean12,0.046002552
sub_event_diversity_roll_mean12,0.032893915
violent_events_count_roll_sum12,0.026479125
violent_events_count_roll_sum3,0.014141775
sub_event_diversity_roll_sum3,0.012261058
distinct_actor_types_count_roll_sum12,0.011955599
days_since_last_violent_event,0.010719013
distinct_actor_types_count_roll_mean3,0.010113639
event_diversity_roll_sum12,0.0070709507
country_conflict_density,0.0068811816
sub_event_diversity_roll_sum12,0.005388483
event_diversity_roll_mean6,0.0048989104
total_events_roll_mean12,0.0048027234
violent_events_count_roll_mean3,0.0045107948
violent_events_count,0.004395196
total_events_roll_sum3,0.004187634
distinct_actors_count_roll_sum12,0.0038890324
distinct_actors_count_roll_sum3,0.003577858
vac_count_roll_mean12,0.0034766793
sub_event_diversity_roll_mean6,0.0034344974
vac_count_roll_mean3,0.0034169222
sub_event_diversity_roll_mean3,0.0032083914
distinct_actors_count_roll_sum6,0.0031849623
vac_count_roll_mean6,0.0031596092
event_diversity_roll_mean12,0.0031497015
vac_count_roll_sum12,0.003067379
distinct_actors_count_roll_mean6,0.0029960156
distinct_actor_types_count,0.0028986323
battles_count_roll_sum12,0.0028774294
battles_count_lag12,0.0027920685
distinct_actors_count,0.0026800667
event_diversity_lag2,0.0026717053
country_violent_events_lag1,0.0026301271
fatalities_roll_sum3,0.0026149133
battles_count,0.0025753083
protests_count_roll_sum12,0.0025172932
vac_count,0.0025143512
total_events_roll_mean3,0.0025120904
violent_events_count_lag12,0.0025009336
total_events_lag12,0.0024836436
total_events_roll_sum12,0.002478554
battles_count_roll_mean12,0.0024459327
event_diversity_roll_mean3,0.0024448123
vac_count_lag12,0.0024408663
violent_events_count_lag2,0.0024385455
event_diversity_roll_sum6,0.002421096
riots_count_roll_mean12,0.002419369
protests_count_roll_sum6,0.002418296
distinct_actor_types_count_roll_sum6,0.0024063664
distinct_actor_types_count_lag6,0.0023875183
country_fatalities_lag1,0.002382287
riots_count_roll_mean6,0.002346114
event_diversity_lag6,0.0023422933
riots_count_lag3,0.0023307123
fatalities_roll_mean6,0.0023284864
riots_count_lag12,0.0023076958
fatalities_roll_mean3,0.0022957933
riots_count_roll_sum12,0.0022885497
sub_event_diversity_lag12,0.0022784895
violent_events_count_lag6,0.0022782336
distinct_actor_types_count_roll_mean6,0.0022611555
distinct_actor_types_count_lag2,0.002219815
fatalities_roll_sum12,0.0022116676
protests_count_roll_mean3,0.0022078934
explosion_remote_count_lag6,0.0022049542
fatalities_roll_mean12,0.0022041814
battles_count_lag3,0.0021789789
fatalities_lag6,0.0021636619
protests_count_roll_mean12,0.0021575994
riots_count_roll_mean3,0.0021412568
explosion_remote_count_roll_mean12,0.0021282558
vac_count_lag3,0.002119354
riots_count_roll_sum3,0.0020946686
protests_count_roll_mean6,0.0020920536
total_events_roll_sum6,0.0020920516
riots_count_trend1,0.0020906639
vac_count_roll_sum3,0.0020835882
explosion_remote_count_roll_sum12,0.002082785
battles_count_lag6,0.0020819975
sub_event_diversity_lag2,0.0020805018
protests_count_lag6,0.0020747224
sub_event_diversity,0.002071467
explosion_remote_count_lag12,0.00205814
fatalities_trend3,0.0020552923
total_events_roll_mean6,0.002053942
battles_count_roll_mean3,0.0020523227
fatalities_lag3,0.002038367
fatalities_trend1,0.002035554
explosion_remote_count,0.0020352548
battles_count_trend1,0.0020338017
distinct_actor_types_count_roll_sum3,0.0020297498
total_events_lag6,0.0020272653
battles_count_lag2,0.0020191255
distinct_actor_types_count_trend3,0.0020157988
event_diversity_lag12,0.0020144398
distinct_actors_count_lag2,0.0020103194
total_events_trend3,0.002007972
fatalities_roll_sum6,0.0019998886
vac_count_lag6,0.0019981216
battles_count_roll_sum6,0.0019936503
sub_event_diversity_lag3,0.0019771385
total_events_trend1,0.001974597
battles_count_roll_mean6,0.0019708339
distinct_actors_count_roll_mean3,0.001964096
battles_count_lag1,0.0019329983
battles_count_trend3,0.0019300238
distinct_actor_types_count_lag12,0.001920901
protests_count_roll_sum3,0.0019096745
distinct_actors_count_trend1,0.0018989986
sub_event_diversity_roll_sum6,0.0018979766
event_diversity_trend1,0.0018951329
fatalities_lag1,0.0018935287
riots_count_lag1,0.00187982
violent_events_count_trend3,0.0018786568
protests_count_lag12,0.0018705339
distinct_actor_types_count_lag3,0.001859504
distinct_actors_count_lag1,0.0018576807
distinct_actors_count_lag3,0.0018379343
distinct_actors_count_lag12,0.0018329938
distinct_actors_count_lag6,0.0018301159
total_events_lag1,0.0018300696
explosion_remote_count_roll_mean6,0.0018254766
event_diversity_trend3,0.0018252144
event_diversity_lag1,0.001821199
violent_events_count_lag1,0.0018165386
riots_count_lag2,0.0018095542
distinct_actor_types_count_lag1,0.001808142
protests_count,0.0018078714
riots_count_lag6,0.001803904
protests_count_lag2,0.0017842735
riots_count,0.0017826279
fatalities_lag2,0.0017656886
protests_count_trend1,0.0017625572
violent_events_count_roll_sum6,0.0017552489
vac_count_trend1,0.0017520766
protests_count_lag3,0.001751698
explosion_remote_count_roll_sum6,0.0017445524
fatalities_lag12,0.0017367409
total_events_lag2,0.0017358868
riots_count_trend3,0.0017178828
explosion_remote_count_trend1,0.0017126814
total_events_lag3,0.0016998412
explosion_remote_count_roll_mean3,0.0016990963
riots_count_roll_sum6,0.0016965306
sub_event_diversity_trend1,0.0016910248
vac_count_lag2,0.0016829696
explosion_remote_count_lag3,0.0016806503
vac_count_lag1,0.0016741183
explosion_remote_count_trend3,0.0016713464
distinct_actor_types_count_trend1,0.0016494753
sub_event_diversity_lag6,0.0016302934
violent_events_count_trend1,0.00160333
violent_events_count_roll_mean6,0.0015999315
protests_count_lag1,0.0015998324
vac_count_trend3,0.0015758617
protests_count_trend3,0.0015484471
sub_event_diversity_trend3,0.00147902
sub_event_diversity_lag1,0.0014710578
distinct_actors_count_trend3,0.0014265322
vac_count_roll_sum6,0.0014004732
event_diversity_roll_sum3,0.0013597406
violent_events_count_lag3,0.0013553334
battles_count_roll_sum3,0.00131337
event_diversity_lag3,0.0012796473
explosion_remote_count_lag2,0.0011918972
explosion_remote_count_lag1,0.0007256511
explosion_remote_count_roll_sum3,0.0
